feature,importance,coefficient,direction,importance_type
v14,0.22769810946360652,,n/a,feature_importance
v17,0.1540045476839241,,n/a,feature_importance
v10,0.1330730373004669,,n/a,feature_importance
v12,0.11792024850953658,,n/a,feature_importance
v16,0.07606852957783818,,n/a,feature_importance
v11,0.06154294755870752,,n/a,feature_importance
v3,0.05337309779291975,,n/a,feature_importance
v4,0.03454037045099993,,n/a,feature_importance
v9,0.028260676512297085,,n/a,feature_importance
v2,0.0164414506667781,,n/a,feature_importance
v18,0.016393523402484608,,n/a,feature_importance
v7,0.014058203677955732,,n/a,feature_importance
v21,0.00978713748072715,,n/a,feature_importance
v5,0.005735514278142356,,n/a,feature_importance
v1,0.005533987315711286,,n/a,feature_importance
v6,0.005352342350603009,,n/a,feature_importance
v27,0.0051649825362332265,,n/a,feature_importance
amount,0.004333486723533562,,n/a,feature_importance
v19,0.003528777922391753,,n/a,feature_importance
v8,0.0033922506764433,,n/a,feature_importance
